CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
Lismore Estate Vineyards;0;0;Lismore Viognier 2012;2012;Greyton;Rich, lush and decadent. Viognier is a gorgeous varietal. Honeysuckle, peaches and dried apricot with a lingering citrus finish. A clean fresh acidity supports the extravagance of the nose and the palate.;14.22;3.68;3.12;7.43;;;;Viognier;White;Dry;;Fruity;
Lismore Estate Vineyards;0;0;Lismore Barrel Fermented Sauvignon Blanc 2013;2013;Greyton;Barrel fermentation and extended lees contact contribute to this full bodied, elegant and well balanced wine.  Floral notes of passion flower and fynbos, granadilla, guava, gooseberry and pear on the palate along with an underlying minerality which gives ;13.5;3.3;3.11;6.7;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Lismore Estate Vineyards;0;0;Lismore Syrah 2011;2011;Greyton;A smooth and silky, medium bodied wine with savoury hints of white pepper, anise, tobacco and leather can be found on the nose. Blackberry, currants and cherry with a distinctive minerality on the palate. It is soft and delicious.;13.5;;;;;;;Shiraz;Red;;Medium;Fruity;
Signal Gun;-33,82003021;18,61076927;Signal Gun Sauvignon Blanc 2014;2014;Durbanville;Tropical flavours, guava, green fig, gooseberries and fresh notes on the nose with an elegant acidity on the palate.;12.68;1.3;3.53;5.1;;;;Sauvignon Blanc;White;;;Fruity;
Signal Gun;-33,82003021;18,61076927;Signal Gun Rose 2014;2014;Durbanville;The wine has aromas of strawberries and cream, red fruit and marshmallow characteristics with floral notes and a crisp and dry finish on the palate.;13.70;2.1;3.42;5.2;;;;Merlot;Rose;;;;
Signal Gun;-33,82003021;18,61076927;Signal Gun Sea Smoke Sauvignon Blanc 2014;2014;Durbanville;An intensely flavoured, single vineyard Sauvignon Blanc with hints of green fig, pear and flint with a beautiful elegant mouth feel.;12.91;1.0;3.72;5.5;;;;Sauvignon Blanc;White;;;;
Signal Gun;-33,82003021;18,61076927;Tin Hill Muy Scatty 2014;2014;Durbanville;"
			This is a dry white wine with aromas of fruit such as litchi, biscuit and Muscat on the nose, with an elegant acidity on the palate.";13.53;3.2;3.84;3.8;;;;Muscat de Frontignan;White;;;;
Signal Gun;-33,82003021;18,61076927;Tin Hill Sauvignon Blanc 2014;2014;Durbanville;Aromas of granadilla and herbaceous notes on the nose with a pleasant and lingering acidity on the palate.;12.79;2.1;3.36;5.4;;;;Sauvignon Blanc;White;;;;
Lomond;-34,56636047;19,48288345;Lomond SMV 2013;2013;Cape Agulhas;Colour: Clear, vibrant and rich ruby colour. <br />Bouquet: Sweet, juicy red fruit, black pepper, clove and floral flavours. <br />Taste: Rich and intense flavours of pepper and spice, with soft, silky tannins.;14.48;3.1;3.54;5.4;;;;Shiraz;Red;Dry;;;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Cuvee Rouge 2013;2013;Stellenbosch;Cherry tobacco and lusciously ripe berry kisses. This accessible, medium bodied wine is clean and fresh with a sweetish, velvety round palate, whilst smooth, yet fruit-forward flavours inspire easy, everyday drinking â€“ perfect for having a good time wit;14.0;5.0;3.6;6.0;;;;Merlot;Red;Dry;Medium;;
Allee Bleue Estate;-33,86507034;18,98199081;Allee Bleue Cabernet Sauvignon / Merlot 2013;2013;Stellenbosch;A deep ruby red colour. Intense flavours of fynbos, mint and berries welcome you on the nose. Follow buy aromas of cinnamon, lead pencil and dark chocolate. The palate is full flavoured with sweet cherries and a spicy undertone. All these are then beautif;14.6;2.2;3.5;6.0;;;;Cabernet Sauvignon;Red;Dry;Full;;
GabriÃ«lskloof Wines;-34,23713684;19,25293922;Gabrielskloof Magdalena 2012;2012;Bot River;"Magdalena is the result of the careful blending of the natural entities that make Gabri&#235;lskloof unique. In the glass, the wine reflects the richness and minerality of the Bot River soils, the fruit perfume of the cultivars that results from our marit";12.9;2.4;3.12;7.1;;;;Semillon;Red;Dry;;;
GabriÃ«lskloof Wines;-34,23713684;19,25293922;Gabrielskloof Viognier 2012;2012;Bot River;"The site at Gabri&#235;lskloof gives natural high acidity at high sugar levels, both of which are unusual for South African Viognier. The style of this Viognier is aromatic, with pawpaw, orange blossom and yellow stone fruit on the nose. It is very lively";13.4;2.7;3.15;6.9;;;;Viognier;White;Dry;Full;Mineral;
Plaisir De Merle;-33,84225082;18,95849991;Plaisir de Merle Merlot 2012;2012;Paarl;On the taste it is well structured with a pleasant soft and velvety palate, layers of ripe sweet red berries and prunes and supported by cedar and vanilla oak flavours. It has a rich lingering aftertaste;14.17;2.5;3.58;5.8;;;;Merlot;Red;Dry;Full;;
Plaisir De Merle;-33,84225082;18,95849991;Plaisir de Merle Chardonnay 2013;2013;Paarl;Colour: Light straw with a green tint. Bouquet: Lime, pear, almonds, notes of oak and a smoky toastiness Taste:  Round and full with stone fruit, citrus and sweet, ripe tropical flavours and a light toastiness layered with creaminess in a lingering aftert;14.03;2.5;3.52;5.6;;;;Chardonnay;White;Dry;Full;Fruity;
Plaisir De Merle;-33,84225082;18,95849991;Plaisir de Merle Sauvignon Blanc 2014;2014;Coastal Region;Colour: Light green Bouquet: Delicate floral and tropical fruit aromas, with hints of green olives and winter melon. The enticing nose carries through to the taste and holds its own all the way. Taste: Fresh, full and rich with flavours of tropical fruit ;13.51;1.8;3.09;6.6;;;;Sauvignon Blanc;White;Dry;Full;;
Solms-Delta Wine Estate;-33,8640213;18,98977089;Solms-Delta Africana 2012;2012;Franschhoek;A dark and concentrated wine, the Africana is nuanced with liquorice, black cherries, cassis fruit and hints of potpourri. The firm tannin on the palate is balanced by a fine acid and full body that gives the wine a generous feel with a powerful finish.;14.5;3.0;3.82;6.0;;;;Shiraz;Red;Dry;Full;;
Idiom Wines;-34,41027451;19,20003319;Idiom Zinfandel 2011;2011;Stellenbosch;A powerful wine typical of our exotic Zinfandel. Aromas of bayleaf and dried rosemary dominate the nose. Intense, evolving flavours of biltong, liquorice and black currants stimulate the palate. The Usual smooth long lingering finish invites further parti;15.5;2.6;3.74;5.2;;;;Zinfandel;Red;Dry;Full;Herbaceous;
Idiom Wines;-34,41027451;19,20003319;Idiom Sauvignon Blanc / Semillon 2012;2012;Stellenbosch;A wine with elegant poise and finesse. Light pale yellow colour with a tinge of green. A delicate mix of lemon, granadilla and peach notes on the nose. An intriguing array of flinty, grassy and tropical fruit flavours follow through on the palate. The cle;13.5;1.8;3.33;6.2;;;;Sauvignon Blanc;White;Dry;;Fruity;
Whalehaven Wines;0;0;Whalehaven Old Harbour Red 2011;2011;Coastal Region;A delicious wine with opulent aromas of red currant, spices and cedar wood followed by smooth and rich black berries and fruits of the forest flavours.;14.0;2.9;3.64;4.9;;;;Merlot;Red;Dry;Medium;Fragrant;
Whalehaven Wines;0;0;Whalehaven Sauvignon Blanc Upper Hemel-en-Aarde Valley 2014;2014;Hemel-en-Aarde Valley;A light straw coloured wine with a tinge of green. Enticing bouquet of ripe melon. Delicate flavours of Cape gooseberry and passion fruit are balancd by refreshing minerality. A crisp and lively wine.;13.5;1.4;3.35;6.5;;;;Sauvignon Blanc;White;Dry;Light;Mineral;
Swartland Winery;-33,45444107;18,75778008;Swartland Bush Vine Chenin Blanc 2014;2014;Swartland;Colour: Light straw colour, with a light green tint.<br />Palate: A tropical nose consisting of ripe apricots, peaches, pears and citrus and complement by vanilla hints.  The abundance of flavours carries through on the well-structured, intense and mouth ;13.61;2.6;3.14;5.7;0.47;121;38;Chenin Blanc;White;Dry;Medium;Fruity;
Swartland Winery;-33,45444107;18,75778008;Swartland Bushvine Pinotage 2013;2013;Swartland;Colour: Intense dark red colour typical of the wines of the region, with a brick-red hue derived from the barrel ageing on the rim of the glass.  <br />Palate: Black plum and cherries on the nose, with dark spice and some smokiness at the back.  On the pa;14.38;2.1;3.53;5.7;0.52;80;37;Pinotage;Red;Dry;Medium;;
Groote Post Vineyards;-33,48342896;18,40948105;Groote Post Kapokberg Sauvignon Blanc 2014;2014;Darling;This wine has a lovely minerality upfront and full flavour. Lemon zest, lime and green flavours fill the palate.;13.5;1.6;3.39;7.0;;;;Sauvignon Blanc;White;Dry;;Mineral;
Swartland Winery;-33,45444107;18,75778008;D'Vine Natural Sweet RosÃ© 2014;2014;Swartland;"Colour: Light strawberry colour. <br />Bouquet: Fresh and fruity and strawberry flavours. <br />Palate: This Ros&#233; is a sweet, fruity summer wine made for easy drinking.";10.48;68.9;3.45;6.2;0.46;156;38;0;Rose;Sweet;Light;Fruity;
Swartland Winery;-33,45444107;18,75778008;D'Vine Naturally Sweet White 2014;2014;Swartland;Colour: Light yellow colour.       <br />Bouquet: Sweet, fruit flavours with a touch of honey.<br />Palate: Upfront fruit flavours complemented by sweet honeycomb flavours of Bukettraube.<br />;11.56;67.3;3.61;5.5;0.48;124;30;0;White;Sweet;;;
Thandi Wines;-33,96292877;18,79422951;Thandi Sparkling White 2014;2014;Stellenbosch;The wine has tropical and muscat ï¬‚avours with a crisp, fresh mouthfeel and a refreshing taste. Easy drinking with a sweet ï¬nish.;12.0;15.0;3.67;5.73;;;;Colombard;Sparkling;Dry;;Fruity;
Thandi Wines;-33,96292877;18,79422951;Thandi  Chardonnay  2014;2014;Stellenbosch;A medium bodied, lightly oaked wine with fresh citrus, lime and biscuit ï¬‚avours. A smooth, fresh mouthfeel with a lingering crisp aftertaste of citrus and peaches.;13.0;4.6;3.46;5.84;;;;Chardonnay;White;Dry;Medium;Fruity;
Thandi Wines;-33,96292877;18,79422951;Thandi Reserve Cabernet Sauvignon 2012;2012;Stellenbosch;A full bodied wine with blackcurrant, tabacco and spicy ï¬‚avours. Well structured and complex with a long ï¬nish.;14.0;2.0;3.62;5.8;;;;Cabernet Sauvignon;Red;Dry;Full;;
Swartland Winery;-33,45444107;18,75778008;D'Vine Cabernet Sauvignon / Merlot 2013;2013;Swartland;Colour: Rich ruby red colour.<br />Bouquet: Fruit driven with inviting dark red berry flavours on the nose.<br />Palate: This easy drinking red blend has a lovely balance between the fruity flavours of the Merlot and the dark berry characters of the Caber;14.18;6.6;3.57;5.5;0.52;74;32;Cabernet Sauvignon;Red;Off Dry;;Fruity;
Swartland Winery;-33,45444107;18,75778008;D'Vine Chenin Blanc / Sauvignon Blanc 2014;2014;Swartland;Colour: Pale straw coloured with an attractive, youthful green tinge.       <br />Bouquet: Strong tropical flavours.<br />Palate: Lots of fruit and guava on the palate.<br />;12.45;7.6;3.55;5.45;0.42;131;47;Chenin Blanc;White;Off Dry;;;
Swartland Winery;-33,45444107;18,75778008;Swartland Contours Collection Chenin Blanc 2014;2014;Swartland;Colour: Light straw colour, with a light green tint.<br /> Bouquet: Enticing fruit salad flavours, especially guava.<br /> Palate: Upfront fresh tropical fruity flavours, on the nose and palate.  This fruity wine has a lovely crisp finish.;12.33;2.2;3.28;5.7;0.34;111;28;Chenin Blanc;White;Dry;Light;Fruity;
Swartland Winery;-33,45444107;18,75778008;Swartland Contours Pinotage RosÃ© 2014;2014;Swartland;Colour: Typical lively onion skin colour.<br />Bouquet: Banana, plum and creamy strawberry flavours from the Pinotage on the nose.<br />Palate: A soft and well-structured palate of fresh berries that lingers on the finish.<br />;13.18;9.4;3.21;6.4;0.31;150;26;Pinotage;Rose;Off Dry;Soft;Fruity;
Swartland Winery;-33,45444107;18,75778008;Swartland Contours Merlot 2013;2013;Swartland;Colour: Rich ruby red colour.<br />Bouquet: Fruit driven with inviting raspberry and cherry flavours.<br />Palate: The palate is soft and well balanced with lots of fruit and berry flavours.  Medium bodied with lingering aftertaste. <br />;13.93;6.6;3.49;5.8;0.49;80;32;Merlot;Red;Off Dry;Medium;Fruity;
Swartland Winery;-33,45444107;18,75778008;Swartland Contours Merlot / Cabernet Sauvignon 2013;2013;Swartland;Colour: Rich ruby red colour.<br />Bouquet: Fruit driven with inviting dark red berry flavours on the nose.<br />Palate: This easy drinking red blend has a lovely balance between the fruity flavours of the Merlot and the dark berry characters of the Caber;14.24;7.5;3.53;6.0;0.55;73;30;Merlot;Red;Off Dry;;Fruity;
Steenberg Vineyards;-34,0753212;18,42277336;Klein Steenberg Cabernet Sauvignon Merlot Cabernet Franc 2012;2012;Constantia;This easy drinking red wine is medium bodied with a distinct dark berry nose and dark chocolate, dried prunes and leather, complemented by soft tones of cedar wood. These aromas are carried through onto the palate, creating a well-balanced and structured ;14.5;2.3;3.68;6.1;;;;Cabernet Sauvignon;Red;Dry;Medium;;
Durbanville Hills Cellar;-33,82494354;18,56601906;Durbanville Hills Rhinofields Sauvignon Blanc 2014;2014;Durbanville;Colour: Pale green.<br />Nose: Aromas of winter melon, kiwi and passion fruit with a slight herbaceousness.<br />Taste: Mouth-watering elegance with kiwi and winter melon flavours and a crisp, lingering finish.;13.03;1.5;3.3;6.0;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Botha Kelder;-33,57722092;19,26139069;Botha Kelder Barrel Fermented Chardonnay 2013;2013;Breedekloof;Green-gold colour with multi-dimensional fresh aromas of lemon, lime and sun-kissed ripe stone fruit. Wonderfully lush and smooth with rich fruit intensity, tempered by vibrant minerality and a seamless creamy finish. Like a walk in the sunshine!;15.71;2.1;3.66;5.7;;;;Chardonnay;White;Dry;;Fruity;
Quoin Rock Winery;-33,87823868;18,86675453;Quoin Rock The Simonsberg-Stellenbosch Syrah 2011;2011;Stellenbosch;"
			On the nose, spicy notes of liquorice, black pepper, coriander and â€œfynbosâ€ combine with fresh aromas of dark berries and butterscotch.  The multi-layered and gripping palate is very well balanced and lingers, with hints of plums and meaty-savoury";;;;;;;;Shiraz;Red;Dry;Full;;
Quoin Rock Winery;-33,87823868;18,86675453;Quoin Rock Vine Dried Sauvignon Blanc 2013;2013;Stellenbosch;"A prominent and complex nose of dried pineapple &amp; - mango, with roasted and sweet spices is supported by a fascinating and refreshing palate of apricot pips and honey.  The wine is in great harmony and concludes with a tangy mouth filling sweetness.";13.67;135.8;3.71;5.3;1.05;;;Sauvignon Blanc;Dessert;Sticky;;;
Blaauwklippen Vineyards;-33,97012711;18,84524345;The Pony Express Blaauwklippen Rose 2014;2014;Stellenbosch;Delicate aromas of raspberries, strawberries and whiffs of cinnamon spice with a crisp, fresh acidity and a juicy mouth feel and lingering finish.;12.15;6.4;3.37;5.5;;;;Shiraz;Red;Dry;Light;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Sauvignon Blanc / Semillon 2014;2014;Western Cape;"<p style=""margin: 0px; text-align: justify;"">Very pale green hue, deliciously vibrant aromatics that infuse rich ripe peach and juicy pineapple with hints of asparagus. The wine is beautifully complimented by crisp natural acidity.</p>";12.5;5.3;3.25;6.0;;;;Sauvignon Blanc;White;Off Dry;Soft;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Cabernet Sauvignon / Merlot 2013;2013;Western Cape;"<p style=""margin: 0px; text-align: justify;"">Intense red hues, this well structured velvety smooth wine with generous flavours of ripe berry and nut with a delightful hint of oak.</p>";13.5;5.0;3.6;5.5;;;;Cabernet Sauvignon;Red;Off Dry;Medium;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Chenin Blanc / Colombard 2014;2014;Western Cape;"<p style=""margin: 0px; text-align: justify;"">The wine has lush  tropical flavours and aromas of passion fruit and guava. It has a crisp acidity with a lingering aftertaste.</p>";12.0;5.0;3.3;6.1;;;;Chenin Blanc;White;Off Dry;Soft;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Shiraz RosÃ© 2014;2014;Western Cape;Vibes of charming raspberry and prune flavours on the nose with lots of fruit flavours on the palate. A good balance with a crisp clean finish.;12.5;5.0;3.4;5.5;;;;Shiraz;Rose;Dry;;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Pinotage / Shiraz 2013;2013;Western Cape;"<p style=""margin: 0px; text-align: justify;"">A deep purple colour with ripe fruit, spice and dark chocolate aromas on the nose. The intensity of the fruit is carried on to the palate where it fills one&#39;s mouth with juicy tannins and ripe dark fruit wi";13.5;2.64;3.57;5.32;;;;Pinotage;Red;Dry;Medium;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Sauvignon Blanc 2014;2014;;"<p style=""margin: 0px; text-align: justify;"">Crisp clean wine with a fresh nose of gooseberry and cut grass, followed up by a concentrated palate displaying bold, full flavours, lively acidity and good balance.</p>";13.5;3.0;3.3;6.2;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Chenin Blanc 2014;2014;Western Cape;To create this wine our winemaker selected only the most exceptional fruit, grown in prime vineyard blocks. This medium bodied wine shows a beautiful melange of guava, passion fruit with a hint of citrus.<br />;13.0;3.0;3.6;6.1;;;;Chenin Blanc;White;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Chardonnay 2014;2014;;Aromas of citrus with subtle underlying oak and a fresh acidity makes this a wonderfully complex wine.;13.5;3.0;3.47;5.2;;;;Chardonnay;White;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Cabernet Sauvignon 2013;2013;Western Cape;A full bodied wine with intoxicating flavours of blackberries, cherries and nuts with nuances of dark chocolate ending in velvety tannins.<br />;14.0;3.4;3.57;5.7;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Shiraz 2013;2013;Western Cape;"<p style=""margin: 0px; text-align: justify;"">Deep red/black colour. The nose shows forward berry fruit with a hint of spiciness. The palate shows a meaty, green olive edge to the fruit.</p>";14.5;3.0;3.59;5.57;;;;Shiraz;Red;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Pinotage 2013;2013;Western Cape;To create this wine our winemaker selected only the most exceptional fruit, grown in prime vineyard     blocks. A beautifully balanced wine with fruit-encased tannins with flavours of plum and smokiness.;13.5;2.0;3.74;5.5;;;;Pinotage;Red;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemakers Selection Merlot 2013;2013;Western Cape;To create this wine our winemaker selected only the most exceptional fruit, grown in prime vineyard     blocks. An elegant wine with aromatics of black cherries and currants finishing with a subtle spice.;14.0;2.0;3.57;5.56;;;;Merlot;Red;Dry;Full;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Willow Way No.2 Pinot Grigio 2014;2014;Western Cape;Floral and citrus fruit aromas lead to flavours of apple and tropical fruit on the palate, accompanied by pear and peach characteristics. It is a clean, medium-bodied wine, with crisp acidity and a long finish.;13.0;2.0;3.5;5.3;;;;Chardonnay;White;Dry;Medium;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Willow Way No.1 Shiraz MourvÃ©dre 2013;2013;Western Cape;The wine exhibits a complex array of aromas of red cherries and dense spice that flow seamlessly onto the palate. The wine has a juicy mouth feel, silky tannins and finishes with intense fruit.;14.0;2.0;3.6;5.5;;;;Shiraz;Red;Dry;;Fragrant;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Sauvignon Blanc 2014;2014;Western Cape;Beautiful ripe gooseberry and figs on the nose with an interesting flintiness. Wine is perfumed and fresh. Palate is rich and full, with depth and layers of fruit. Tight mineral finish with a distinctive long structure.;13.1;3.5;3.32;6.1;;;;Sauvignon Blanc;White;Dry;Full;Mineral;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Cabernet Sauvignon / Merlot 2012;2012;Stellenbosch;The wine has a deep red colour with some tawny development. It is very expressive with ripe blackberry and blackcurrant characters dominating the nose. The characteristic cassis and earthiness of Cabernet Sauvignon is clearly evident. Spicy and sweet Fren;14.5;3.0;3.63;5.4;;;;Cabernet Sauvignon;Red;Dry;Full;;
Swartland Winery;-33,45444107;18,75778008;Swartland Reserve Pinotage 2013;2013;Swartland;Colour: Deep red colour.<br />Bouquet: Abundance of ripe red berries with a slight spicy hint on the nose.<br />Palate: Well balanced tannin structure and juicy ripe fruits of the forest with refreshing acid on the palate.  Medium to light bodied wine.;14.16;2.3;3.54;5.7;0.47;109;31;Pinotage;Red;Dry;Medium;;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemaker's Selection Pinot Grigio 2014;2014;Western Cape;This wine tempts with enticing aromas of melon which leads to a feast of fresh, lingering flavours of green apple and pear finished with a crisp acidity.;13.0;3.3;3.19;5.9;;;;Pinot Gris;White;Dry;;Fruity;
Balance Wines ( Overhex );-33,65805054;19,51556015;Balance Winemaker's Selection Pinot Noir 2014;2014;Western Cape;A refined wine with elegant nuances of warm spice, cherry and raspberry with a hint of oak.;14.0;3.4;3.4;5.2;;;;Pinot Noir;Red;Dry;Light;Fruity;
Spier;-33,9734726;18,78254509;Spier Private Collection Sauvignon Blanc 2013;2013;Stellenbosch;Appearance: Clear with a distinctive green tinge.<br /><br />The wine shows an attractive nose of nettle, fig leaves and tropical fruits. The palate is intense and concentrated with a strong thread of minerality. This is followed by gooseberries and kiwi ;13.66;3.20;3.35;6.00;;;;Sauvignon Blanc;White;Dry;;Herbaceous;
Spier;-33,9734726;18,78254509;Spier 21 Gables Sauvignon Blanc 2014;2014;Durbanville;Appearance: Pale straw with lime rim edges. <br />Taste: The wine is bold and aromatic with intense flavours of gooseberries, green fig leaves and hints of fresh grassiness. It is concentrated and richly textured, and offers a palate with a fresh green fi;14.21;3.1;3.57;6.0;;;;Sauvignon Blanc;White;Dry;Full;Herbaceous;
Kanu Wines;-33,88943863;18,81897926;Kanu Cabernet Sauvignon 2013;2013;Stellenbosch;The Cabernet Sauvignon has a medium, intense colour with brick red rim. On the palate it contains hints of cedar and cigar box, fynbos scrub and berry compote. Fruit follows onto the palate, slight minty character with soft, integrated tannins, and gentle;13.0;2.8;3.49;5.8;;60;;Cabernet Sauvignon;Red;;Full;;
Scali Wines;;;Scali Sirkel Pinotage 2013;2013;Paarl;Expressive fresh, ripe raspberry and red fruit with a hint of sweet herbs. Youthful and elegant, this wine is ready to be enjoyed now. Sirkel encapsulates our dream of fulfilling our mission to be custodians of earth and guardians of man, caring for what ;14.50;1.5;3.70;5.5;;;;Pinotage;Red;;;;
Scali Wines;;;Scali Blanc 2013;2013;Paarl;Seductive complexity of fresh, ripe summer fruits and spices with a pure mineral foundation, and a long, lingering, well balanced after taste with excellent structure and tannin.;14.60;3.5;3.69;5.5;;;;Chenin Blanc;White;;;;
Scali Wines;;;Scali Ancestor 2013;2013;Paarl;Fresh, ripe pear, apple and peach flavours on the nose and pallet, lifted by tiny, soft bubbles. Well balanced, lingering and inviting the next sip.;13.00;12.0;6.5;5.5;;;;Chenin Blanc;White;;;;
Hill&Dale;-33,99721909;18,86667061;Hill&Dale Merlot 2014;2014;Stellenbosch;<p>Colour: Deep, intense and vibrant ruby.<br />Bouquet: Lively nose with tones of cherries, raspberries and cranberries backed up by subtle undertones of herbaceous tealeaves. Fruit-forward with very little oaking in play.<br />Taste: Medium to full-bodi;13.27;2.7;3.56;5.7;0.60;;;Merlot;Red;Dry;Medium;Fruity;
Sadie Family Wines;0;0;Sequillo Cellar Sequillo Red 2012;2012;Swartland;The 2012 Sequillo Red also had a small altering from the usual in that we in this year did not include Carignan and Grenache, both of the aforementioned grapes just did not manage to produce a high enough quality and we opted to leave them out of the fina;14.5;1.8;3.56;5.4;;82;;Shiraz;Red;Dry;;;
Tulbagh Winery;-33,28623962;19,13850975;Paddagang CCM 2013 (Reserve);2013;Tulbagh;The wine is a deep ruby colour, with prominent prune and dark fruit flavours with a hint of mint and well integrated oak flavours. Full bodied wine with well-structured, soft tannins and lingering fruit flavours on the palate.;14.25;5.36;3.82;5.22;;;;Cabernet Sauvignon;Red;Off Dry;Full;Fruity;
Sadie Family Wines;0;0;Sequillo Cellar Sequillo White 2013;2013;Western Cape;The 2013 Sequillo White has had one major change in that it did not ferment all in seperate casks, but the entire blend fermented together as a coâ€“fermentation. And then was aged as such in the same big used foudre as was for the initial fermentation. T;14.0;2.6;3.38;5.2;;88;;Chenin Blanc;White;Dry;;Mineral;
Rijks;-33,26931;19,14660072;Rijks Methode Cap Classique Brut 2012;2012;Tulbagh;Lengthy bottle fermentation ensures a fine bubble with lovely freshness on the nose. This classic MCC has a pale golden colour with light citrus and brioche overtones that is beautifully complex and balanced by the gentle acidity on the palate. An elegant;12.56;5.6;3.07;6.8;;;;Chardonnay;Cap Classi;;;;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Sauvignon Blanc 2013;2013;Western Cape;;13.00;3.1;3.17;6.4;;;;Sauvignon Blanc;White;Dry;Medium;Herbaceous;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Chenin Blanc 2013;2013;Western Cape;;13.00;2.5;3.3;6.4;;;;Chenin Blanc;White;Dry;Medium;Herbaceous;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Chardonnay 2011;2011;Western Cape;A well-rounded wine with rich red apple aromas and juicy pineapple flavours. Some citrus and vanilla on the aftertaste.;14.0;2.7;3.29;6.6;;;;Chardonnay;White;Dry;Full;Herbaceous;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Viognier 2013;2013;Western Cape;A bold expressive wine with a dried peach flavour and tropical finish.;13.50;3.2;3.26;6.5;;;;Viognier;White;Dry;Medium;Herbaceous;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Pinotage 2013;2013;Western Cape;A medium bodied wine with an intense red hue and typical aromas of ripe strawberries and plums.;14.0;2.2;3.38;6.1;;;;Pinotage;Red;;Medium;;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Cabernet Sauvignon 2013;2013;Western Cape;A medium bodied wine with aromas of ripe blackcurrant, plums and hints of dark mint chocolate. Well-balanced with gentle oak texture.;14.00;1.8;3.67;5.5;;;;Cabernet Sauvignon;Red;Dry;Medium;Herbaceous;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Pinotage RosÃ© 2013;2013;Western Cape;A burst of red fruit characteristics makes this a juicy and easy-drinking wine. Lingering strawberry is well-balanced by refreshing acidity.;13.5;3.3;3.20;6.9;;;;Pinotage;Rose;Dry;Light;Fruity;
Piekenierskloof Wine Company;-32,58911896;19,01182175;Six Hats Shiraz 2013;2013;Western Cape;"
			Lots of juicy ripe plums and black cherries on the palate with aromas of spice and freshly cracked black pepper. Medium to full bodied with a refreshing aftertaste.";14.50;2.0;3.56;5.7;;;;Shiraz;Red;Dry;Medium;Herbaceous;
Vondeling Wines;0;0;Vondeling Sweet Carolyn 2011;2011;Paarl;Colour: A multi-layered wine with a light amber colour <br />Nose: The nose shows soft peach aromas, fresh pineapple and ripe apricot. These heady aromas are supported by floral orange blossom, jasmine and fynbos honey. <br />Palate: The mouth-watering sw;9.5;138;3.34;8.4;;;;Muscat de Frontignan;Dessert;Sweet;;;
Vondeling Wines;0;0;Vondeling Sauvignon Blanc 2014;2014;Paarl;Colour: Pale straw with a slight green edge.<br />Nose: A pungent nose of flint and floral freshness, passion fruit and fig, balanced nicely by a moderate amount of capsicum and kiwi fruit sweetness. <br />Palate: The aromas on the nose carry through beau;12.0;3.7;3.47;6.4;;;;Sauvignon Blanc;White;;;;
Vondeling Wines;0;0;Vondeling Rose 2014;2014;;Colour: A very pale pink with a hint of orange. <br />Nose: An enticing bouquet of rose petals, red currents, tropical fruit and  citrus. <br />Palate: Refreshing and vibrant, with red berry flavours, floral undertones, candied citrus and a crisp finish.;12.8;3.2;3.62;5.3;;;;Merlot;0;;;;
